x,y
406.4870134285019,42258.0
407.98443361633343,38088.0
409.4824599737313,38111.0
410.98212351147106,37485.0
412.4813629419395,37917.0
413.982240598178,38075.0
415.4837256804654,38732.0
416.98581829400524,39190.0
418.4895515364819,39193.0
419.993893355837,40186.0
421.4988438569673,41032.0
423.00440314459155,41681.0
424.5105713232551,41635.0
426.01838358105744,42223.0
427.5268057754897,42195.0
429.03583801078025,42539.0
430.5465167311955,42781.0
432.05676977904426,42682.0
433.56867035775736,42438.0
435.0811822308412,41898.0
436.5953435191334,42122.0
438.1090787108557,41834.0
439.6244643636548,42078.0
441.14046256344534,41566.0
442.6570734132613,41779.0
444.17533713261446,41478.0
445.69317401091683,40459.0
447.21266480450197,40685.0
448.73381087720986,40818.0
450.25452999593045,40853.0
451.7769054398268,40432.0
453.2998959330499,40924.0
454.8235015775648,40290.0
456.3477224751552,40031.0
457.8736026317125,40350.0
459.4000990872155,40358.0
460.92721194309144,40322.0
462.45494130057506,39865.0
463.9832872607122,40108.0
465.5132959375255,39716.0
467.04392226265026,39670.0
468.5762131947171,39728.0
470.10807554064684,38944.0
471.64160353942515,39506.0
473.1757504334006,39012.0
474.71051632267853,38917.0
476.2459013071762,39130.0
477.78295488143635,38477.0
479.32062859654553,38636.0
480.8589225520354,37925.0
482.39783684724193,38732.0
483.938422670172,37725.0
485.47857836562883,37906.0
487.02145857086725,37595.0
488.56390884631725,37195.0
490.1069808032934,36771.0
491.6517277494587,36753.0
493.19709742239075,36480.0
494.74308992023106,36505.0
496.2907598242999,35933.0
497.83799869028877,36213.0
499.3869160076406,36276.0
500.93645739050453,35483.0
502.48767912003444,35572.0
504.038469350954,35832.0
505.59094097354864,34913.0
507.14403790088727,34998.0
508.6977602296601,34857.0
510.25316636869707,34385.0
511.80919895402053,34208.0
513.3658580819015,34062.0
514.9231438483976,34056.0
516.4810563493581,33636.0
518.0406561246295,33509.0
519.6008836787428,33102.0
521.161739107107,33432.0
522.7232225049197,33058.0
524.286396119262,32645.0
525.8501987472157,33366.0
527.4146304835319,33110.0
528.9796914227429,32848.0
530.5453816591661,32868.0
532.1127655766927,32164.0
533.6807798350484,32422.0
535.249424528097,31939.0
536.8197653236334,32298.0
538.3907375975195,31769.0
539.9612750120405,32000.0
541.5345769536877,32089.0
543.1074442220931,31641.0
544.6809433410983,31731.0
546.2561425492593,31337.0
547.831974650745,31514.0
549.4095087424319,31246.0
550.9866073363316,31488.0
552.5654089631507,30979.0
554.1448447100304,31147.0
555.7249146685031,31257.0
557.3056189298843,31051.0
558.8880291679825,30630.0
560.4710747510209,30939.0
562.0547557698087,30596.0
563.6390723149341,30466.0
565.2250977808915,30326.0
566.8117598148264,29855.0
568.3990585068152,29866.0
569.9869939467007,29848.0
571.5766412517964,29677.0
573.1658508870507,29879.0
574.756773428391,29536.0
576.3483339372082,29145.0
577.9416092554629,29018.0
579.5355235819677,29230.0
581.128999388538,29114.0
582.7252696137459,29124.0
584.3211014954388,28704.0
585.9175727382169,28967.0
587.5157627747308,28722.0
589.1145932119038,28745.0
590.7140641370431,28960.0
592.3152562800524,28273.0
593.9170899504481,28456.0
595.5195652349962,28786.0
597.1226822202096,28595.0
598.7264409923612,28369.0
600.3319244457286,27849.0
601.936967482796,28272.0
603.5448199144992,28061.0
605.1522321010775,27506.0
606.7602873694859,27681.0
608.3700707812754,28000.0
609.9804983124341,27937.0
611.591570047605,27374.0
613.2043723504357,27289.0
614.8167331808004,27330.0
616.4308256157415,27486.0
618.0455634598159,26939.0
619.6620348143026,26692.0
621.2780641618035,27043.0
622.8958280559887,26864.0
624.5142385620816,26842.0
626.1332957627897,26326.0
627.7540899341025,26536.0
629.3755318356148,26077.0
