x,y
397.56279548078044,52875.0
399.0499868117929,48454.0
400.53782095054044,48478.0
402.0273219302836,48280.0
403.5164424269842,48404.0
405.0072308493078,47992.0
406.4986633638491,48068.0
407.99074007010756,48483.0
409.48448721403463,48717.0
410.9788796341676,48742.0
412.47391742956825,49505.0
413.96960069908016,50232.0
415.4659295413337,50531.0
416.9639324184784,51013.0
418.4625819523885,51622.0
419.9618782412441,52619.0
421.462851078835,52534.0
422.96344161530544,52733.0
424.4657097843367,52942.0
425.9686259876005,53030.0
427.4732217960774,53108.0
428.9774348040587,52227.0
430.4833285008556,52595.0
431.98987150957555,53253.0
433.4970639268116,52431.0
435.00593954798194,51930.0
436.51443151637943,51639.0
438.02460777174167,51601.0
439.5364697468758,52058.0
441.0479479112423,52323.0
442.5611128784484,51968.0
444.07492970790815,51816.0
445.5893984947845,51618.0
447.1045193340169,51886.0
448.62133003374106,51723.0
450.1387938682449,51120.0
451.65691093196995,51443.0
453.17568131912253,52016.0
454.69510512367765,51529.0
456.21622238761006,51377.0
457.7379941506874,51218.0
459.26146134977637,50983.0
460.78454283881604,51220.0
462.30932084557537,50780.0
463.8347546195936,51290.0
465.36084425357376,50089.0
466.88758983998696,50423.0
468.4160350024208,50562.0
469.94513719823703,50566.0
471.4748965193743,49520.0
473.00531305753213,49731.0
474.537432230277,49274.0
476.0691639253653,49865.0
477.60364555951685,49361.0
479.1377398980818,49668.0
480.6724928069176,48732.0
482.2089519488536,49407.0
483.7460707407346,49237.0
485.28384927267734,49077.0
486.8233365565179,49162.0
488.36243528781245,49168.0
489.90324385017095,49346.0
491.44471341093504,49749.0
492.98789478221124,49284.0
494.5306870571154,49874.0
496.07519222116446,49539.0
497.62035963978633,49339.0
499.16618940120395,49635.0
500.7137345707047,49931.0
502.26194316106364,50379.0
503.8108152599293,50397.0
505.3603509546897,50897.0
506.91055033247835,51113.0
508.4624687150573,52224.0
510.01505185772817,53059.0
511.5682998470263,54130.0
513.1222127692289,54013.0
514.6778477536564,54252.0
516.2341487474115,53820.0
517.7911158361649,51734.0
519.3487491053212,50410.0
520.9070486400223,48715.0
522.4670738317484,45639.0
524.0277663643575,43021.0
525.5891263223762,41152.0
527.1522144563703,38146.0
528.7159710908226,36757.0
530.2793347361402,34519.0
531.8454901963967,34195.0
533.4112528344953,34240.0
534.9776843070088,34833.0
536.545848085555,35254.0
538.1146817719688,35770.0
539.6852497462642,36925.0
541.2554239497695,36638.0
542.8273335142625,36757.0
544.3999142239549,37544.0
545.973166160349,36765.0
547.5470894046827,36951.0
549.1227510640532,37718.0
550.699085103213,37207.0
552.2760916027227,37404.0
553.8537706428718,37803.0
555.4331911514822,37629.0
557.013285271727,37994.0
558.594053083212,37854.0
560.1754946652587,37968.0
561.7586807684991,38152.0
563.3414705845107,37659.0
564.9260059913609,37726.0
566.5112163958047,37284.0
568.0981743730451,37792.0
569.6858084170618,38175.0
571.2730451946456,38199.0
572.8631050157051,38127.0
574.4527677247528,37939.0
576.0431068094157,37579.0
577.6351975853747,37313.0
579.2279658042129,37818.0
580.8214115419818,37883.0
582.4166114864546,37455.0
584.0124900165976,36983.0
585.6090472077411,37025.0
587.20628313491,36890.0
588.804197872836,36654.0
590.403870398328,36494.0
592.0031434389361,36340.0
593.6052551511854,35749.0
595.2069675262258,35116.0
596.8093599982855,35652.0
598.4135138359918,35636.0
600.018348834331,35709.0
601.6238650659312,34825.0
603.2311451761911,35264.0
604.8380245501512,35430.0
606.4466688652507,34875.0
608.0559956199685,35134.0
609.6670892968389,34899.0
611.2777816038803,34738.0
612.8902418943908,35202.0
614.5033858275268,34011.0
616.1172134734402,34262.0
617.7328116136532,33781.0
619.3490945267474,32839.0
620.9649746492721,32950.0
622.5837149486539,32186.0
624.2020525952204,32049.0
625.8221643052814,31277.0
627.4418725774603,30938.0
629.064445908206,30973.0
630.6866159365612,30563.0
632.3094722059714,30400.0
633.9341061046086,30681.0
635.5594273007752,31029.0
637.1854358609091,30848.0
638.8132245576049,30687.0
640.4406085054218,31131.0
642.0697736449351,30928.0
643.6996273349296,30563.0
645.3312641952905,30736.0
646.9624956429714,30427.0
648.5955113147679,30911.0
650.2292167198224,30406.0
651.863611921895,31050.0
653.4997938524493,31062.0
655.1355693012479,30920.0
656.7731325302685,30737.0
658.4113867340326,30537.0
660.0514306952703,30278.0
661.6910674980585,30412.0
663.3324951085905,30758.0
664.9746148676802,30277.0
666.6185274112244,30380.0
668.2620321137748,30483.0
669.907330649532,30163.0
